"ï..ATP","Location","Tournament","Date","Series","Court","Surface","Round","Best.of","Winner","Loser","WRank","LRank","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","Comment","CBW","CBL","GBW","GBL","IWW","IWL","SBW","SBL","B365W","B365L","B.WW","B.WL","EXW","EXL","PSW","PSL"
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Canas G.","Bastl G.","15","115","6","4","6","2","","","","","","","2","0","Completed","1.4","2.7","1.25","3.3","1.3","2.7","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Galvani S.","Luzzi F.","140","96","6","1","6","3","","","","","","","2","0","Completed","2.2","1.6","2","1.67","1.75","1.75","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Hrbaty D.","Pretzsch A.","36","103","6","1","6","4","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Johansson T.","Heuberger I.","18","112","6","4","6","4","","","","","","","2","0","Completed","1.2","4","1.22","3.55","1.2","3.3","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Karlovic I.","Black B.","193","196","7","6","6","3","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Kucera K.","Balcells J.","101","95","6","4","3","6","7","5","","","","","2","1","Completed","1.48","2.45","1.43","2.4","1.3","2.7","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Labadze I.","Dupre T.","109","274","6","4","7","6","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Okun N.","Pless K.","117","68","6","2","6","4","","","","","","","2","0","Completed","2.75","1.38","2.75","1.35","2.7","1.3","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Pavel A.","Marin J.A.","28","130","6","3","6","2","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Rochus O.","Lee M.","114","105","6","4","6","3","","","","","","","2","0","Completed","1.6","2.2","1.57","2.15","1.6","1.9","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Santoro F.","Wessels P.","22","110","7","6","6","3","","","","","","","2","0","Completed","1.45","2.55","1.45","2.4","1.45","2.2","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Srichaphan P.","Mirnyi M.","120","35","6","3","6","3","","","","","","","2","0","Completed","2.9","1.36","2.75","1.35","2.5","1.35","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Stoliarov A.","Paes L.","81","299","6","3","6","1","","","","","","","2","0","Completed","1.55","2.3","1.6","2.1","1.6","1.9","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","van Scheppingen D.","Tabara M.","121","64","4","6","6","3","6","4","","","","","2","1","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Vanek J.","Bhupathi M.","102","775","6","2","6","2","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Calatrava A.","Hrbaty D.","100","36","2","6","7","5","6","2","","","","","2","1","Completed","2.65","1.42","3","1.3","2.3","1.4","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Canas G.","Karlovic I.","15","193","7","5","6","2","","","","","","","2","0","Completed","","","1.17","4","1.2","3.3","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Johansson T.","Rochus O.","18","114","4","6","6","3","6","4","","","","","2","1","Completed","1.26","3.4","1.3","3","1.3","2.7","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Kucera K.","van Scheppingen D.","101","121","7","5","7","6","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Pavel A.","Galvani S.","28","140","6","3","6","3","","","","","","","2","0","Completed","1.3","3.2","1.3","3","1.25","3","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Santoro F.","Labadze I.","22","109","6","2","6","3","","","","","","","2","0","Completed","","","1.4","2.6","1.45","2.2","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Srichaphan P.","Stoliarov A.","120","81","6","2","6","1","","","","","","","2","0","Completed","2.1","1.65","2.2","1.55","1.9","1.6","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Vanek J.","Okun N.","102","117","3","6","7","6","6","4","","","","","2","1","Completed","","","1.75","1.88","1.75","1.75","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","Quarterfinals","3","Canas G.","Vanek J.","15","102","7","5","1","1","","","","","","","1","0","Retired","1.25","3.5","1.2","3.6","1.2","3.3","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","Quarterfinals","3","Kucera K.","Santoro F.","101","22","6","2","6","7","7","6","","","","","2","1","Completed","1.8","1.9","1.6","2.1","1.6","1.9","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","Quarterfinals","3","Pavel A.","Calatrava A.","28","100","7","6","6","1","","","","","","","2","0","Completed","1.38","2.75","1.3","3","1.3","2.7","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","Quarterfinals","3","Srichaphan P.","Johansson T.","120","18","4","6","6","3","6","2","","","","","2","1","Completed","3","1.33","3","1.3","2.3","1.4","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","Semifinals","3","Canas G.","Kucera K.","15","101","4","6","6","3","6","3","","","","","2","1","Completed","1.48","2.5","1.5","2.25","1.35","2.5","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","Semifinals","3","Srichaphan P.","Pavel A.","120","28","6","3","6","4","","","","","","","2","0","Completed","2.3","1.55","2.25","1.5","2.3","1.4","","","","",NA,NA,NA,NA,NA,NA
"2","Chennai","TATA Open","12/31/2001","International","Outdoor","Hard","The Final","3","Canas G.","Srichaphan P.","15","120","6","4","7","6","","","","","","","2","0","Completed","1.42","2.7","1.41","2.5","1.4","2.3","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Bjorkman J.","Vacek J.","60","75","6","4","6","7","6","3","","","","","2","1","Completed","1.67","2.1","1.6","2.1","1.6","1.9","1.5","2.5","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Davydenko N.","Youzhny M.","79","58","6","4","6","2","","","","","","","2","0","Completed","2.45","1.48","2.1","1.6","2","1.55","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Dupuis A.","Gaudenzi A.","90","54","6","3","6","3","","","","","","","2","0","Completed","1.67","2.1","1.78","1.85","1.6","1.9","1.727","2","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","El Aynaoui Y.","Pioline C.","38","84","7","6","6","4","","","","","","","2","0","Completed","1.55","2.3","1.47","2.38","1.55","2","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Ivanisevic G.","Koubek S.","12","63","6","4","3","6","6","3","","","","","2","1","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Kafelnikov Y.","Vacek D.","4","393","7","6","6","4","","","","","","","2","0","Completed","1.18","4.25","1.2","3.7","1.2","3.3","1.2","4","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Knowle J.","Portas A.","134","20","6","4","1","6","7","6","","","","","2","1","Completed","","","2.3","1.5","1.9","1.6","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Mantilla F.","Caratti C.","45","238","6","1","6","1","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Montanes A.","Sanchez D.","65","74","6","3","6","2","","","","","","","2","0","Completed","1.95","1.75","1.87","1.75","1.8","1.7","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Novak J.","Hipfl M.","29","76","3","6","6","3","6","2","","","","","2","1","Completed","1.28","3.3","1.35","2.7","1.35","2.5","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Ogorodov O.","Al Khulaifi N.G.","148","NR","6","1","6","2","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Schuettler R.","Nieminen J.","43","61","6","3","6","2","","","","","","","2","0","Completed","1.6","2.2","1.55","2.2","1.6","1.9","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Squillari F.","Sargsian S.","55","72","6","0","6","3","","","","","","","2","0","Completed","1.95","1.75","1.95","1.7","1.75","1.75","2.1","1.667","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Stepanek R.","Rochus C.","542","69","7","6","6","3","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Ulihrach B.","Blanco G.","32","56","6","2","6","2","","","","","","","2","0","Completed","1.28","3.3","1.3","3","1.3","2.7","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","1st Round","3","Vicente F.","Alami K.","52","203","6","2","6","2","","","","","","","2","0","Completed","1.7","2","1.65","2.02","1.65","1.85","1.727","2","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","El Aynaoui Y.","Squillari F.","38","55","6","2","6","2","","","","","","","2","0","Completed","1.45","2.55","1.4","2.6","1.45","2.2","1.444","2.625","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Kafelnikov Y.","Davydenko N.","4","79","6","7","6","4","6","4","","","","","2","1","Completed","1.2","4","1.21","3.6","1.25","3","1.222","3.75","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Mantilla F.","Ogorodov O.","45","148","7","6","6","4","","","","","","","2","0","Completed","1.33","3.05","1.22","3.4","1.2","3.3","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Novak J.","Dupuis A.","29","90","7","5","6","4","","","","","","","2","0","Completed","1.35","2.9","1.35","2.75","1.4","2.3","1.333","3","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Schuettler R.","Montanes A.","43","65","6","3","6","4","","","","","","","2","0","Completed","1.38","2.75","1.33","2.85","1.25","3","1.333","3","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Stepanek R.","Ivanisevic G.","542","12","7","6","6","2","","","","","","","2","0","Completed","3.2","1.3","3.3","1.25","3","1.25","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Ulihrach B.","Bjorkman J.","32","60","6","2","7","6","","","","","","","2","0","Completed","1.9","1.8","2","1.65","1.75","1.75","2","1.727","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","2nd Round","3","Vicente F.","Knowle J.","52","134","6","3","6","4","","","","","","","2","0","Completed","1.48","2.45","1.5","2.3","1.45","2.2","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","Quarterfinals","3","El Aynaoui Y.","Novak J.","38","29","7","6","6","4","","","","","","","2","0","Completed","1.85","1.85","1.75","1.87","1.75","1.75","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","Quarterfinals","3","Mantilla F.","Stepanek R.","45","542","6","3","6","3","","","","","","","2","0","Completed","1.45","2.55","1.32","2.9","1.3","2.7","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","Quarterfinals","3","Schuettler R.","Kafelnikov Y.","43","4","7","5","6","4","","","","","","","2","0","Completed","2.65","1.42","2.65","1.37","2.7","1.3","2.625","1.444","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","Quarterfinals","3","Ulihrach B.","Vicente F.","32","52","6","1","6","1","","","","","","","2","0","Completed","1.42","2.65","1.4","2.55","1.4","2.3","1.364","2.875","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","Semifinals","3","El Aynaoui Y.","Schuettler R.","38","43","6","3","6","4","","","","","","","2","0","Completed","1.85","1.9","1.85","1.75","1.8","1.7","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","Semifinals","3","Mantilla F.","Ulihrach B.","45","32","6","3","6","1","","","","","","","2","0","Completed","2.55","1.45","2.45","1.42","2.5","1.35","","","","",NA,NA,NA,NA,NA,NA
"3","Doha","Qatar Open","12/31/2001","International","Outdoor","Hard","The Final","3","El Aynaoui Y.","Mantilla F.","38","45","4","6","6","2","6","2","","","","","2","1","Completed","1.4","2.75","1.4","2.55","1.4","2.3","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Bjorkman J.","Gaudio G.","61","46","7","6","6","1","","","","","","","2","0","Completed","1.55","2.25","1.52","2.25","1.5","2.1","1.615","2.2","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Clavet F.","Gambill J.M.","50","21","6","0","7","6","","","","","","","2","0","Completed","2.45","1.5","2.35","1.47","2.1","1.5","2.625","1.444","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Elseneer G.","Hrbaty D.","205","37","3","6","6","1","6","2","","","","","2","1","Completed","3","1.33","2.65","1.38","2.3","1.4","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Golmard J.","Willman D.","49","362","6","4","6","1","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Ivanisevic G.","Nieminen J.","12","59","7","6","6","3","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Kratochvil M.","Ginepri R.","44","176","6","3","6","2","","","","","","","2","0","Completed","1.35","2.9","1.42","2.5","1.45","2.2","1.286","3.25","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Mantilla F.","Koubek S.","36","64","7","6","6","2","","","","","","","2","0","Completed","1.7","2","1.55","2.2","1.55","2","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Nalbandian D.","Phau B.","45","201","4","6","6","4","6","3","","","","","2","1","Completed","1.67","2.05","1.55","2.15","1.5","2.1","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Nielsen M.","Vinciguerra A.","458","33","7","6","6","4","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Novak J.","Gaudenzi A.","28","52","7","5","6","3","","","","","","","2","0","Completed","1.25","3.5","1.27","3.15","1.25","3","1.3","3.2","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Rusedski G.","Zabaleta M.","30","58","6","4","3","6","6","1","","","","","2","1","Completed","1.42","2.6","1.42","2.5","1.45","2.2","1.444","2.625","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Safin M.","Chang M.","11","94","2","6","6","3","6","4","","","","","2","1","Completed","1.3","3.2","1.32","2.9","1.3","2.7","1.286","3.25","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Schalken S.","Blanco G.","29","56","6","2","3","6","6","3","","","","","2","1","Completed","1.25","3.5","1.23","3.4","1.2","3.3","1.286","3.25","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Tabara M.","Sa A.","99","89","7","5","6","2","","","","","","","2","0","Completed","","","1.58","2.1","1.55","2","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Vicente F.","Squillari F.","51","55","6","3","6","2","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","1st Round","3","Youzhny M.","Montanes A.","60","62","4","6","7","6","6","2","","","","","2","1","Completed","1.45","2.55","1.55","2.2","1.5","2.1","1.5","2.5","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","2nd Round","3","Bjorkman J.","Safin M.","61","11","6","3","4","6","6","3","","","","","2","1","Completed","2.75","1.38","2.8","1.33","2.7","1.3","3","1.333","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","2nd Round","3","Golmard J.","Elseneer G.","49","205","7","6","6","2","","","","","","","2","0","Completed","1.35","2.9","1.33","2.8","1.35","2.5","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","2nd Round","3","Ivanisevic G.","Youzhny M.","12","60","4","6","6","3","6","3","","","","","2","1","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","2nd Round","3","Kratochvil M.","Nielsen M.","44","458","6","3","6","2","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","2nd Round","3","Mantilla F.","Schalken S.","36","29","6","4","6","4","","","","","","","2","0","Completed","2.3","1.55","2.05","1.63","1.85","1.65","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","2nd Round","3","Nalbandian D.","Clavet F.","45","50","6","3","6","3","","","","","","","2","0","Completed","2.1","1.65","1.88","1.75","1.85","1.65","2","1.727","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","2nd Round","3","Novak J.","Vicente F.","28","51","6","3","6","3","","","","","","","2","0","Completed","1.35","2.9","1.32","2.85","1.3","2.7","1.333","3","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","2nd Round","3","Rusedski G.","Tabara M.","30","99","5","7","7","5","6","4","","","","","2","1","Completed","1.33","3","1.28","3.05","1.3","2.7","1.286","3.25","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","Quarterfinals","3","Golmard J.","Bjorkman J.","49","61","6","3","6","4","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","Quarterfinals","3","Kratochvil M.","Nalbandian D.","44","45","2","6","6","1","7","5","","","","","2","1","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","Quarterfinals","3","Novak J.","Mantilla F.","28","36","6","1","6","1","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","Quarterfinals","3","Rusedski G.","Ivanisevic G.","30","12","6","2","0","6","6","3","","","","","2","1","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","Semifinals","3","Golmard J.","Kratochvil M.","49","44","6","2","6","2","","","","","","","2","0","Completed","1.7","2","1.71","1.91","1.65","1.85","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","Semifinals","3","Rusedski G.","Novak J.","30","28","6","7","6","4","7","6","","","","","2","1","Completed","2.1","1.65","1.85","1.75","1.85","1.65","","","","",NA,NA,NA,NA,NA,NA
"4","Auckland","Heineken Open","1/7/2002","International","Outdoor","Hard","The Final","3","Rusedski G.","Golmard J.","30","49","6","7","6","4","7","5","","","","","2","1","Completed","1.6","2.2","1.55","2.15","1.6","1.9","1.533","2.375","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Boutter J.","Johansson T.","53","18","7","6","7","5","","","","","","","2","0","Completed","2.7","1.42","2.6","1.4","2.3","1.4","","","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Canas G.","Delgado R.","14","91","3","6","6","4","6","1","","","","","2","1","Completed","","","1.3","3","1.35","2.5","1.286","3.25","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Chela J.I.","Costa A.","67","42","6","0","7","6","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Escude N.","Martin A.","32","41","6","1","6","4","","","","","","","2","0","Completed","1.57","2.25","1.45","2.4","1.45","2.2","1.615","2.2","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Federer R.","Robredo T.","13","34","7","6","7","6","","","","","","","2","0","Completed","1.65","2.15","1.6","2.05","1.55","2","","","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Ferreira W.","Clement A.","63","17","6","2","6","4","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Kucera K.","Santoro F.","82","22","6","4","1","6","6","3","","","","","2","1","Completed","1.65","2.1","1.67","1.97","1.6","1.9","1.667","2.1","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Lee H.T.","Moya C.","115","19","7","6","7","6","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Malisse X.","Arazi H.","31","24","6","3","","","","","","","","","1","0","Retired","1.7","2.05","1.81","1.81","1.8","1.7","","","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Mirnyi M.","Arthurs W.","35","76","7","5","7","6","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Pavel A.","Diaz J.","27","88","7","5","6","4","","","","","","","2","0","Completed","","","","","","","","","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Rios M.","Ljubicic I.","47","38","6","7","6","3","7","6","","","","","2","1","Completed","","","1.58","2.1","1.55","2","1.833","1.833","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Roddick A.","Ilie A.","15","65","6","4","6","4","","","","","","","2","0","Completed","1.22","3.75","1.22","3.45","1.2","3.3","","","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Schuettler R.","Kiefer N.","40","43","6","2","6","2","","","","","","","2","0","Completed","1.75","1.95","1.71","1.92","1.65","1.85","1.667","2.1","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Srichaphan P.","Grosjean S.","86","6","6","3","6","4","","","","","","","2","0","Completed","3.1","1.33","3.15","1.27","3","1.25","3","1.333","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","1st Round","3","Ulihrach B.","Lapentti N.","39","25","6","3","6","1","","","","","","","2","0","Completed","2","1.72","1.85","1.78","1.75","1.75","","","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","2nd Round","3","Boutter J.","Schuettler R.","53","40","6","4","7","6","","","","","","","2","0","Completed","2.25","1.57","2.15","1.55","2","1.55","2.375","1.533","","",NA,NA,NA,NA,NA,NA
"5","Sydney","adidas International","1/7/2002","International","Outdoor","Hard","2nd Round","3","Chela J.I.","Ferreira W.","67","63","6","4","1","6","7","6","","","","","2","1","Completed","2.1","1.67","2.1","1.58","2","1.55","2.2","1.615","","",NA,NA,NA,NA,NA,NA
